119 158
1 2 11
1 72 25
2 7 1
2 3 2
3 4 6
4 12 2
4 5 8
5 23 4
6 7 4
6 10 2
7 98 4
8 9 3
9 10 1
10 14 2
11 12 2
12 20 2
13 14 2
14 15 2
14 102 2
102 26 2
15 16 2
98 17 2
16 103 2
103 17 2
17 18 2
18 19 1
18 29 4
19 20 3
20 21 2
20 31 4
21 22 5
22 23 1
22 46 8
23 58 12
24 25 2
25 26 4
25 32 2
26 34 2
26 27 4
27 36 2
27 28 2
28 29 2
29 110 1
110 30 1
30 111 1
111 31 1
31 37 2
32 33 2
32 38 2
33 34 2
34 35 2
34 40 2
35 36 2
36 42 2
37 44 2
38 39 2
38 50 4
39 40 2
40 41 2
40 52 4
41 99 2
42 43 4
99 47 2
42 99 1
43 44 4
44 45 2
44 49 2
45 46 5
47 48 4
47 54 2
49 56 2
50 51 2
50 59 3
51 52 2
52 53 2
53 54 2
54 60 3
54 55 4
55 56 4
56 61 3
56 115 5
115 57 1
57 58 2
58 92 25
59 64 3
60 66 3
61 68 3
61 62 4
63 65 2
64 73 3
64 65 4
65 74 3
65 66 4
66 67 4
66 75 3
67 68 4
68 100 2
68 81 6
100 69 2
69 70 2
69 82 6
70 71 1
72 73 3
72 95 20
73 77 3
73 74 4
74 78 3
74 75 4
75 79 3
75 76 4
77 114 3
114 84 3
77 78 4
78 79 4
79 83 3
79 80 4
80 81 4
80 101 2
81 86 6
81 82 4
82 87 6
83 85 3
84 85 8
85 86 8
85 89 3
86 87 4
88 89 2
89 90 13
89 93 6
90 91 4
91 92 3
92 97 4
93 94 4
94 96 2
95 96 15
96 97 12
98 16 1
104 102 2
104 103 2
105 63 1
105 59 4
105 60 4
106 67 3
106 60 4
106 61 4
107 78 3
107 83 4
107 114 4
108 101 1
108 83 4
109 57 3
109 70 3
112 30 1
113 30 1
116 13 1
117 49 2
118 117 1
119 59 1
